plot_id,latitude,longitude,district,ndvi_mean,ndwi_mean,blue,green,red,nir,image_count,data_source
PB_001,31.961464826625406,75.48431496086756,Gurdaspur,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_002,31.21121798229296,75.42883532770341,Kapurthala,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_003,31.311806849715303,75.4366757849949,Jalandhar,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_004,30.57788192232611,76.49911520937293,Patiala,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_005,30.715974771832357,76.69407252475145,Mohali,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_006,30.616868279896472,76.63922452892328,Mohali,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_007,30.560356718051903,76.61480724514219,Patiala,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_008,30.082262325123047,76.29965687061386,Patiala,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_009,31.246227388467265,75.55837867473429,Jalandhar,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_010,30.105498429743886,74.62505690158856,Bathinda,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_011,31.822550546026807,75.63004714370707,Gurdaspur,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_012,30.129342591321222,74.96263838845648,Bathinda,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_013,31.2472315723305,75.86291569070387,Jalandhar,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_014,31.543961922484115,75.01411597315699,Amritsar,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_015,30.228638521483497,76.26724269893637,Patiala,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_016,30.20897541628931,74.7873433606566,Bathinda,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_017,31.986029057415312,75.23318446371124,Gurdaspur,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_018,31.444232132911605,75.03579883965365,Amritsar,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
PB_019,30.752449969591744,76.5089874588691,Mohali,0.724507122951685,0.23617356988288155,0.09295377076201385,0.13046059712816052,0.05765846625276664,0.33829315215254097,10,Synthetic_Fallback
