plot_id,year,crop_type,yield_kg_per_hectare,sowing_date,harvest_date,latitude,longitude,district,ndvi_mean,ndwi_mean,blue,green,red,nir,data_source,pH,organic_carbon,N_available,P_available,K_available,soil_health_status,data_source_soil,temperature,humidity,rainfall,wind_speed,data_source_weather,vegetation_health_score,soil_fertility_index,heat_stress,cold_stress,drought_risk,N_P_ratio,N_K_ratio,P_K_ratio,sowing_month,sowing_day_of_year,is_kharif,is_rabi,soil_pH_category,yield_potential_score,season
PB_001,2022,Wheat,4565.3,2022-11-16,2023-4-21,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,11,320,0,1,Neutral,0.7053981402835643,Rabi
PB_001,2022,Rice,5990.5,2022-06-01,2022-10-23,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,6,152,1,0,Neutral,0.7053981402835643,Kharif
PB_001,2022,Cotton,489.7,2022-11-13,2023-4-09,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,11,317,0,1,Neutral,0.7053981402835643,Rabi
PB_001,2023,Wheat,5017.0,2023-11-08,2024-4-23,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,11,312,0,1,Neutral,0.7053981402835643,Rabi
PB_001,2023,Rice,5501.8,2023-06-14,2023-10-07,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,6,165,1,0,Neutral,0.7053981402835643,Kharif
PB_001,2023,Cotton,479.4,2023-11-07,2024-4-09,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,11,311,0,1,Neutral,0.7053981402835643,Rabi
PB_001,2024,Wheat,5032.3,2024-11-15,2025-4-14,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,11,320,0,1,Neutral,0.7053981402835643,Rabi
PB_001,2024,Rice,5296.6,2024-06-03,2024-10-17,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,6,155,1,0,Neutral,0.7053981402835643,Kharif
PB_001,2024,Cotton,477.4,2024-11-13,2025-4-18,31.96146482662541,75.48431496086756,Gurdaspur,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,7.429900226339412,0.6780516994491786,170.24008764372343,19.12784083833524,323.02241479944985,Medium,Punjab_Research_Model_Northern,22.53,96,0.0,2.32,OpenWeatherMap,0.5780070570310439,0.6327391758067473,0.0,0.0,0.0,8.45794086961808,0.5253960215965049,0.05903246184426533,11,318,0,1,Neutral,0.7053981402835643,Rabi
PB_002,2022,Wheat,4063.3,2022-11-16,2023-4-02,31.21121798229296,75.42883532770341,Kapurthala,0.724507122951685,0.2361735698828815,0.0929537707620138,0.1304605971281605,0.0576584662527666,0.3382931521525409,Synthetic_Fallback,6.954260742093582,0.6926132020432724,137.97563071061694,17.69398700058982,243.6189444428484,Good,Punjab_Research_Model_Central,23.27,97,1.78,3.37,OpenWeatherMap,0.5780070570310439,0.591960781533824,0.0,0.0,0.0,7.380749259441745,0.5640431121345669,0.07233285647965731,11,320,0,1,Neutral,0.6890867825743949,Rabi
